,Year,Revenue,Company
0,2024,43621636363.636475,Delta Airlines
1,2023,55740000000.0,Delta Airlines
2,2022,50580000000.0,Delta Airlines
3,2021,29900000000.0,Delta Airlines
4,2020,17090000000.0,Delta Airlines
5,2019,47000000000.0,Delta Airlines
6,2018,44430000000.0,Delta Airlines
7,2017,41220000000.0,Delta Airlines
8,2016,39630000000.0,Delta Airlines
9,2015,40700000000.0,Delta Airlines
10,2014,40360000000.0,Delta Airlines
11,2013,37770000000.0,Delta Airlines
12,2024,9018363636.363586,Singapore Airlines
13,2023,13470000000.0,Singapore Airlines
14,2022,11400000000.0,Singapore Airlines
15,2021,4620000000.0,Singapore Airlines
16,2020,4219999999.9999995,Singapore Airlines
17,2019,12410000000.0,Singapore Airlines
18,2018,12030000000.0,Singapore Airlines
19,2017,11340000000.0,Singapore Airlines
20,2016,10790000000.0,Singapore Airlines
21,2015,11070000000.0,Singapore Airlines
22,2014,11990000000.0,Singapore Airlines
23,2013,12140000000.0,Singapore Airlines
24,2024,27966545454.54541,Lufthansa
25,2023,37250000000.0,Lufthansa
26,2022,34220000000.0,Lufthansa
27,2021,19460000000.0,Lufthansa
28,2020,15540000000.0,Lufthansa
29,2019,40710000000.0,Lufthansa
30,2018,42050000000.0,Lufthansa
31,2017,40980000000.0,Lufthansa
32,2016,34980000000.0,Lufthansa
33,2015,35500000000.0,Lufthansa
34,2014,39110000000.0,Lufthansa
35,2013,39910000000.0,Lufthansa
36,2024,12459818181.818176,Turkish Airlines
37,2023,9630000000.0,Turkish Airlines
38,2022,16790000000.0,Turkish Airlines
39,2021,13120000000.0,Turkish Airlines
40,2020,6000000000.0,Turkish Airlines
41,2019,13050000000.0,Turkish Airlines
42,2018,10460000000.0,Turkish Airlines
43,2017,10960000000.0,Turkish Airlines
44,2016,9670000000.0,Turkish Airlines
45,2015,10130000000.0,Turkish Airlines
46,2014,10850000000.0,Turkish Airlines
47,2013,9490000000.0,Turkish Airlines
